tid	artist	song
TRASLHI128EF343C84	Noisettes	Bridge To Canada
TRBEIKK128F14628D6	Lighthouse Family	Run
TRAHIJE128F4243356	Jack Off Jill	Horrible
TRADKDX128F9320676	Foo Fighters	If Ever
TRBFJGB128F42612B1	Brooke Valentine	American Girl
TRAMMFP12903CB59C2	Blind Lemon Jefferson	Long Distance Moan
TRATHTH128F42BC347	Kings Of Leon	Ragoo
TRBCWPC128F42438DF	Alexander O'Neal	Saturday Love
TRARHCB128F148D1B0	The Misfits	The Haunting
TRAPGOZ128F933A945	Jonny Lang	One Person At A Time
TRAMMAF128F93051B0	Basement Jaxx	Sfm
TRAZZQC128F427A0F5	Aerosmith	Milkcow Blues
TRALPKG12903CDCA8A	Placebo	The Never-Ending Why
TRAYEGN128F9361233	Joe Bonamassa	When She Dances
TRAWBOE128F92F2F46	Pearl Jam	You Are
TRAGKTN128F933C68B	Pursuit Of Happiness	Down On Him
TRAOHNR128F428CD58	OutKast featuring George Clinton	Synthesizer
TRADCIM128F427A3A1	Wyclef Jean featuring Butch Cassidy and Sharissa	You Say Keep It Gangsta
TRAPGOC128F932F01A	Aswad	Your Recipe
TRAGWTT128F148CF2C	Sister Hazel	Cerilene
TRAXPHE128F92F4100	Paul Rogers	The Hunter
TRAXEHW128F423E590	My Chemical Romance	You Know What They Do To Guys Like Us In Prison (Album Version)
TRADODV128F4283EB6	Mobb Deep	Got It Twisted
TRBDUSM128F9339A13	Maximilian Hecker	Let Me Out
TRAJMQE128F9322DDD	2 Minutos	Vos No Confiaste
TRAFDFD128F14B07AB	THE COOKIES	Chains (LP Version)
TRAQACB128F4263F7B	Ultimate Fakebook	Soaked In Cinnamon
TRAXLYT128F9348137	KMD	Get-U-Now
TRASAQI128F426EEA3	Bob Dylan	Simple Twist Of Fate
TRAFTCT128F425A900	Rick Astley	Close To You
TRAVTEH128E07953EA	Bon Jovi	The Radio Saved My Life Tonight
TRAFOKY128F92ED751	David Cook	I Did it for You
TRAJBTZ12903CB818C	The Del McCoury Band	Asheville Turnaround
TRAEFON128E078C6F8	MC5	Miss X (LP Version)
TRBFVEP128F42621E3	The Distillers	World Comes Tumblin' Down
TRBIJFB128F92ED124	It Dies Today	One the road (to Damnation)
TRBBUCK128F42AFAD6	Kool Moe Dee	Death Blow
TRACHKX128F934B07A	Fever Ray	I'm Not Done
TRAQGMY128F425A2F5	Annie Lennox	A Whiter Shade Of Pale
TRACTWW12903CB7550	Cracker	Shake Some Action
TRAHHMV12903CD0B0D	Backstreet Boys	PDA
TRAQTBF12903CCC1B7	Cockney Rejects	Oi! Oi! Oi!
TRACCJA128F149A144	João Gilberto	Segredo
TRBDNZI128F14A9065	Foghat	Zig-Zag Walk
TRAUPSV128F427B621	Cabas	Como Nuestro Amor No Hay Dos
TRAFRYJ128F92E638B	Nine Inch Nails	Memorabilia
TRALPQV128F424F989	2raumwohnung	Lachen und weinen
TRAYAKN128F9330A65	Ghost Machine	What You Made Me (Ugli)
TRAWIGT128F427448E	Las Ketchup	Tengo Un Novio Tántriko
TRBCBLV128F14ADF31	Petra	More Power To Ya
TRAXJVO128F42AC534	Martina McBride	Thanks A Lot
TRAVBCR128F933AE8E	Dax Riggs	Radiation Blues
TRAIATD128F9331CD6	Usher	I'll Show You Love
TRAGQBY128F42635B7	James Taylor	One More Go Round
TRABPGO128F931B50C	Emilia	You're My World
TRAZTBZ12903CFB6DA	Pelle Carlberg	I Love You_ You Imbecile
TRAVFEW128F92E2B47	Alice Cooper	Be My Lover
TRABYVN128F429E5CF	Aesop Rock	Flashflood
TRABWPT128F42B06CC	Keb' Mo'	Still There For Me
TRAWFYX12903CA4766	Atomship	Whitfield
TRAQOXO128F42636BD	James Taylor	Down In The Hole
TRAUVVR128F425A925	Eurythmics	A Little Of You
TRARVZG128F1497359	Tech N9ne	Caribou Lou
TRBESEX128F147BB13	Olga Tañón	Como Olvidar (Merengue Versión)
TRBBYOI128F4256732	Black Flag	Out Of This World
TRBFLOH128F42630E3	Regina Belle	You Are Everything
TRAKDCQ128F42A247A	Kool Moe Dee	I Go To Work
TRAKHYP128E0792F07	Patty Griffin	Moses
TRAYYKO128F92E133B	The Lord Weird Slough Feg	Baltech's Lament
TRACFOJ128F4253EFA	Nick Cave & The Bad Seeds	Still In Love
TRABUIN128F93022FF	SKOLD vs. KMFDM	Alkohol
TRBCBVY128F933A195	Los Auténticos Decadentes	El Jorobadito
TRAITDY128F149431C	Vangelis	Procession
TRALQGZ128F146F500	KT Tunstall	Boo Hoo
TRBGTZD128EF34B6C3	Jesus Jones	Nothing To Hold Me
TRBCBLN128F932BC9D	Skeletonwitch	Within My Blood
TRADXCO128F426B26D	M	Close To Me
TRADYQK128F42A762A	Muse	Stockholm Syndrome
TRAQGNV128C7196894	Blink-182	All Of This
TRADFXD128F424694C	Mando Diao	Misty Mountains
TRACLRV128EF33FAB8	Whitesnake	Young Blood (2007 Digital Remaster)
TRBIIOT128F423C594	Joy Division	Leaders Of Men
TRASPAS128E078DFB3	Bob Marley & The Wailers	Smile Jamaica
TRAIUYZ128F425BD2F	Múm	Nightly Cares
TRAPHAH128F42677A4	Jennifer Lopez	We Gotta Talk
TRAJDTK128F429FFDF	Jim Reeves	I'd Like To Be
TRAKLEZ128F4270649	Martha Wainwright	Who Was I Kidding
TRAHYDH128F9325200	Bumblefoot	Piranha
TRBBTUD128F42A10A3	Behemoth	Here And Beyond
TRAZORC128F426C323	Cut Copy	Unforgettable Season
TRAIELD128F92DC682	Kings Of Leon	Genius
TRBCJRW12903CD02BC	John D. Loudermilk	Goin' To Hell On A Sled
TRBDVJF128E078894B	The Smashing Pumpkins	Soot and Stars
TRBIJMU12903CF892B	Moonspell	The Hanged Man
TRBECAL128F4270F27	Saigon Kick	The Way
TRARIIY128F147187D	Kiss	Radar For Love
TRAWRWK128F4260B37	Gal Costa	Wave
TRAWPBO128F933D918	Bruisers	Bloodshed
TRAVCNA128F930975C	Mithotyn	On Misty Pathways
TRAQRFD128F9322DE6	2 Minutos	Cancion De Amor
TRAQITZ128F4265E0E	Johnny Cash	Lonesome To The Bone
TRAEXHW128F92E2602	Gym Class Heroes	New Friend Request (Amended Version)
TRBEBNV128F423783D	The Germs	Going Down
TRBAHEH128F9327D39	Wyclef Jean	Guantanamera
TRAJMEL128F4262B4A	The Fabulous Thunderbirds	Why Get Up
TRATDLH128F93384B0	Lily Allen	22 (Acoustic)
TRALZTM128F92EC5F0	Céline Dion	Because You Loved Me (Theme from "Up Close and Personal")
TRBHNUB12903CC2475	Open Hand	Tough Guy
TRADABC128F4274FCC	Carlos Ponce	Escuchame
TRAAWOR128F92DF3C8	Sandi Thom	Wounded Hearts
TRAUOXB128F146573B	Bryan Ferry	Ja Nun Hons Pris
TRBDVVT128F4279D11	Xzibit	Carry The Weight
TRBAZFD12903CB641D	Brooke White	Hold Up My Heart
TRBEHFA128F145B3DA	Be Bop Deluxe	Sister Seagull (Live)
TRAXSWX128E0792BEF	Toots & The Maytals	It's You
TRAIYDL128E0791583	Rihanna	Music Of The Sun
TRBFTJP128F426AC3F	Be Bop Deluxe	Music In Dreamland
TRATCDG128F932B4D2	Aiden	Black Market Hell
TRADRJK128E078F041	The Cardigans	Iron Man
TRANCOS128F4267DFB	Mando Diao	All My Senses
TRAPGFN12903CB5BAC	The Plimsouls	Women
TRAFBVU128F426B3F6	Dimmu Borgir	The Fundamental Alienation
TRBFIHG128F4289CF9	The Ataris	Make It Last
TRABOOL128F426E836	Mary Black	Turning Away
TRAUYOD128F42647FE	The Vaughan Brothers	Good Texan
TRAUSHD128E0795347	Bon Jovi	Wildflower
TRAXRSK128F42B44D2	Bad Religion	Infected
TRAPCNK128F427D7B5	M83	You Appearing
TRARMYQ128F149F18A	Jimmy Wayne	Are You Ever Gonna Love Me?
TRAMHMO128F93167EA	Juana Molina	Isabel
TRAPUFL128F425A8F9	Rick Astley	Nature Boy
TRAUEYX12903CEAF48	Architecture In Helsinki	Need To Shout
TRAVHIA128F1494B0C	Sonny James	I'll Never Find Another You
TRAYOQI128F92F0967	Converge	To the Lions
TRAGHJX128F426F76F	Bob Dylan	New Pony
TRAOKSC128F4264989	K's Choice	A Sound That Only You Can Hear
TRBBILZ12903CB422C	Set Your Goals	This Very Moment
TRAGQVO128F145C0AF	Gang Starr	Say Your Prayers
TRALTKQ128F932DA67	Atari Teenage Riot	Revolution Action
TRAAKAS128F4246013	Porcupine Tree	Waiting
TRAFKRE128F932002B	All Time Low	Umbrella
TRAENOH128F933978A	Cerati-Melero	Marea De Venus
TRACFZI128E0795424	Saosin	Bury Your Head
TRBEBVZ128F425A660	Rick Astley	The Bottom Line
TRAGPAF128EF34542A	From Autumn To Ashes	Sensory Deprivation Adventure
TRAGALM128F4236C86	Lyrics Born	Bad Dreams
TRBIJES12903CF5B12	Mouth Of The Architect	Harboring An Apparition
TRAKGDZ12903CE4867	Story Of The Year	Won Threw Ate
TRAVGNH128F428CBA9	Amorphis	Into Hiding
TRACCVZ128F4291A8A	Mastodon	Deep Sea Creature
TRAESJK128E0792227	Eminem	Ricky Ticky Toc
TRAMTIH128F933E8E4	Eric Burdon	Motorcycle girl
TRAIVMM128F4266056	Keb'Mo'	Anybody Seen My Girl
TRAAHEG128E07861C3	Redman	WKYA (drop)
TRAIHFF128EF351817	Michael Jackson	Just A Little Bit Of You
TRBFNBC12903CA9800	The Black Crowes	Good Morning Captain
TRAURRP128F4261B94	Dixie Chicks	Give It Up Or Let Me Go
TRAYOXN128E07926A8	City High	The Only One I Trust
TRAMEDG128E07933F4	Ms. Dynamite	All I Ever
TRBBGQN128F9310CBE	Radiohead	You (Demo)
TRAYGHE12903CD213E	The Prodigy	What Evil Lurks
TRAFLMU128F4274A4D	G-Unit	I Don't Want To Talk About It
TRAGJPA128F92F9665	U2	FEZ-Being Born
TRASQCW12903CA07D9	Ray Davies	See My Friends
TRBAZYH128F4288198	The Jeff Healey Band	See The Light
TRANLJA128F42A5379	Dolly Parton	It's All Wrong_ But It's All Right
TRANIUD12903CCE692	Jah Cure	To Your Arms of Love
TRAGYDZ12903D0957F	Candlebox	Lover Come Back To Me
TRAKYWY128F9310CF4	Radiohead	Stop Whispering (US Version)
TRATQSL128F932E2ED	Michael Jackson	Morning Glow
TRBHJPQ128E078ED8F	Queens Of The Stone Age	Everybody's Gonna Be Happy
TRAZVZJ128F92EF28A	Set Your Goals	summer jam
TRAWVNL128F9327983	Bad Company	Call On Me
TRAWWQM128F148C796	Kiss	Every Time I Look At You
TRBDTNY128F9327A10	Bad Company	Take The Time
TRALLQX12903CD838C	Ben Sidran	See You On The Other Side
TRAPFXX128E0785EBA	Mariah Carey	Clown
TRAPYCR128F4289604	Flickerstick	Coke (Live)
TRABZRZ128F42628AD	James Taylor	Steamroller Blues
TRBFUMI128F42B5731	The Velvet Underground	Stephanie Says
TRADRNN128F92F7172	R. Kelly & Jay Z	Honey
TRAPSHW128F14560A6	J.J. Cale	Losers
TRAVELY128F42606F8	A Tribe Called Quest	Like It Like That
TRANVZT128F42AE134	Dixie Chicks	Lullaby
TRAQAIW12903C9B61E	Belle and Sebastian	I Could Be Dreaming
TRAPMRV128F92F5F4C	Dixie Chicks	Hole In My Head
TRARUTP128E0797FC7	Linkin Park	Crawling (Album Version)
TRBGWVI128E0788AE7	22-20s	Hold On
TRAVDGG128F92E389A	Memphis Minnie	Nothing In Rambling
TRAIKSH128E07816DF	Nick Cave & The Bad Seeds	Stagger Lee
TRANIUS12903D00EC7	Swallow The Sun	...and Heavens Cried Blood
TRAUNPM12903CB7CCC	Jefferson Starship	Fading Lady Light
TRBDWRY128F427991E	Stevie Ray Vaughan And Double Trouble	Tin Pan Alley (aka Roughest Place In Town)
TRAIBXJ128F4260700	A Tribe Called Quest	Scenario
TRAAGCZ128F93210FD	Black Eyed Peas	Let's Get It Started
TRASGKM128F42644C5	Helmet	Street Crab
TRANTAD128F92FD042	John Mayer	Who Did You Think I Was
TRBBYFJ128F42A22D4	Jim Reeves	Jingle Bells
TRAYIUG12903CC7E3C	Gipsy Kings	Camino
TRBDCAB128F92F7EE4	The Primitives	Never Tell
TRAYLKH128F427BCCC	W.A.S.P.	When The Levee Breaks
TRASARO128F145E40F	Small Faces	My Mind's Eye
TRAFAJC128E078888B	Queens Of The Stone Age	This Lullaby
TRBHGVH128F148AD73	Long Beach Dub Allstars	Free Love
TRBACUF128F4247F8C	Mint Condition	Call Me
TRAGFVT128F92ECB5D	Oasis	Don't Go Away
TRANMOT128F92EFF19	Kathy Mattea	Standing Knee Deep In a River (Dying Of Thirst)
TRAOWXO128E0783F68	Wet Wet Wet	Hear Me Now
TRBEKGR128F425DA44	Jane's Addiction	Price I Pay
TRATQDK128F1489B3E	Pennywise	Lies
TRAAGJV128F1464090	Lesley Gore	It's My Party
TRAYPFH128E07937C3	Soundgarden	Slaves & Bulldozers
TRAFYGO128F42727E7	Beyoncé	Be With You
TRAXWQU128F42716E2	John Mellencamp	Peaceful World
TRBDBXO128F42B3E45	Nolwenn Leroy	Etre Une Femme
TRASTOM12903CBE8A6	Seven Mary Three	Hammer & a Stone
TRAUXSO128F42B863C	Silverchair	Spawn (Again)
TRAVKGM12903CA66FB	L7	Baggage
TRBFNMG128F4278109	Aerosmith	Reefer Head Woman
TRAVHLR128F146B476	Charly García	Asesíname
TRACHHH128E0788A35	Dilated Peoples	Big Business
TRBIBKA128F42947BF	Samy Deluxe	Die Meisten
TRAGGVS128F4250CE8	Astarte	Oblivious Darkness
TRAVOHH128F4247EF9	Ashton Shepherd	Sounds So Good
TRAWEDC128F14A2EBA	Y&T	Contagious
TRBGZLM128F4221E63	Less Than Jake	Fucked
TRAXZSJ128F145B3B0	Be Bop Deluxe	Piece Of Mine
TRAZJUH128F934465B	Hanoi Rocks	Mental Beat
TRAMBHU128F425A620	Rick Astley	You Move Me
TRBCPXR128F42AC544	Martina McBride	Pick Me Up On Your Way Down
TRBBMXI128F428CCD1	Amorphis	The Lost Name of God
TRAUMNH128F92FB67F	The Jeff Healey Band	It Could All Get Blown Away
TRBGUHX128F4279757	K's Choice	God In My Bed
TRAASUZ128F9314950	Korn	Hey Daddy
TRALLQJ128F933C68A	Pursuit Of Happiness	Killed By Love
TRAREDZ12903CFB6E3	Pelle Carlberg	Clever Girls Like Clever Boys Much More Than Clever Boys Like Clever Girls
TRARFKP12903CF5DF1	Salt The Wound	From My Hands
TRBARHH128E078EDE9	Aerosmith	Janie's Got A Gun
TRADFII128F931FC9F	Metallica	The End Of The Line
TRAMNJB128F92EFDC7	Indica	Ihmisen Lento
TRAICJQ12903CF2681	Dark Fortress	Ghastly Indoctrination
TRAZFYU128F93569C6	deadboy & the Elephantmen	No Rainbow
TRBIFOK128EF362D20	The Pharcyde	I'm That Type Of Ni**a
TRAOZEJ128F428CCEA	OutKast	Wailin'
TRAQVDI128F42969C8	John Mayall & The Bluesbreakers	Nature's Disappearing
TRAVRPL128F145E874	Lifer	Breathless
TRAIQUG128F92F946E	Byzantine	Absolute Horizon
TRBBKLD128F424ABF5	Crowbar	No Quarter
TRAKWTG128F42454E2	Less Than Jake	Antidote For The Underdog
TRAMARM128E0796A50	The All-American Rejects	Bite Back
TRAEPAW128F4285BAB	Geggy Tah	Gina
TRAQVOG128F9340E58	Chris Brown	I.Y.A.
TRBAMXF128F1470AD6	Red Hot Chili Peppers	Hard To Concentrate (Album Version)
TRBDTZX128F92DFA66	Jars Of Clay	Don't Stop
TRAOEAQ12903CC26BD	This Is Hell	RECKLESS
TRAAUEO128E0780CB9	Placebo	English Summer Rain
TRAGNGY12903C9CD76	Tantric	Coming Undone
TRARMHA128F92E7D32	Descendents	I'm Not A Loser
TRASXZE128F427F156	Heavenly	Smile
TRACRTS128F9300F7E	Bad Brains	Destroy Babylon
TRBFZRA128F427030C	Tha Liks	Da Da Da Da
TRBICVB128F9326B65	Strata	Night Falls (The Weight Of It)
TRAJHCS128F93192B5	Georges Brassens	Auprès De Mon Arbre
TRAPEHR128E0786D5A	Zeromancer	Send Me An Angel
TRBFLFI128F427F374	RIDDLIN' KIDS	Stop The World
TRAAGPJ128F428CD1B	Queens Of The Stone Age	I Never Came
TRAYQKQ128F1491182	Slick Rick	Kill Niggaz
TRBGKJU128E079851F	The Highwaymen	The Road Goes On Forever
TRBCIRO128F42B0277	Christina Aguilera	Beautiful
TRAJUPF128F4231A2C	P.O.D.	Ya Mama (Palm Springs Demo)
TRAADQX128F422B4CF	Casiotone For The Painfully Alone	Nashville Parthenon
TRAZXDC128F429874E	Shaggy	Criteria
TRABFKN12903CAF61B	All Time Low	Shameless
TRAUFLM128F42AECDC	Britney Spears	Someday (I Will Understand)
TRANIVG128F1484DED	Janet Jackson	Again
TRAPHDI128F92F5EA1	Zeca Baleiro	Proibida Pra Mim (Grazon)
TRAKVSG128EF34E609	Raphaël	La Mémoire Des Jours
TRARTSA128F4291550	Bongzilla	Champagne & Reefer
TRBFUXQ128F145B135	Alias	After All The Love Is Gone
TRABJWA128F9309C09	Ensiferum	Warrior's Quest
TRANEMQ128F42A10A8	Behemoth	No Sympathy For Fools
TRAUNEL128F1467D5C	Devo	Sloppy (I Saw My Baby Gettin')
TRARFQL128F931E523	Fergie	Voodoo Doll
TRBEAMO128F425B75F	Christina Aguilera	Cruz
TRASUJK128E0789C12	Coldplay	Speed Of Sound (Live)
TRAXWDS12903CEE35E	Wolfmother	Cosmonaut
TRAYVLL128F9335B7A	Bersuit Vergarabat	Se Viene
TRBBFOT12903CBCB4F	Capleton	Raggy Road
TRBDKOV128F4290943	Lou Reed	Sally Can't Dance
TRBGGOS128F9307FC5	Remy Shand	The Second One
TRBATRO128F4225566	La Portuaria	10000 Km
TRASIVA128F933DB52	Boyz II Men	In My Life
TRAWODX128F42AC413	Peter Gallagher	Everytime It Rains
TRAEVRI128F93608F3	Phil Collins	Welcome
TRAKHXX128E07877EB	Red Hot Chili Peppers	Emit Remmus (Album Version)
TRAUZTR128F9351D2A	Michael Jackson	I Wanna Be Where You Are
TRATJXC128F93124CE	Darden Smith	Perfect Moment
TRBDYIC128F92F1D17	Slum Village	CB4
TRAFMPX128F4246C49	Ill Nino	All I Ask For (Album Version)
TRAYMFR12903D09540	Skeeter Davis	My Sweet Loving Man
TRAKOEB128F1478783	Rise Against	Intro/Chamber The Cartridge
TRAAZGC12903CB5DFB	The Jeff Healey Band	Hoochie Coochie Man
TRBFUNY128C7196B7D	The Disposable Heroes Of Hiphoprisy	Music And Politics
TRAPIPG128F42521C6	Carlos Vives	Decimas
TRARSAM128F4256E04	Månegarm	Vargbrodern Talar
TRBIBTU128F92FDC9D	Tim Exile	Fortress
TRBAAOT128F4261A18	Harry Connick_ Jr.	Once
TRAHCVT128F4282806	L.A. Guns	Magdalaine
TRADRHX12903CCD1DF	T.G. Sheppard	Only One You
TRAQKPR128F427DDF8	Gerard Lenorman	Voici Les Clés
TRARJPL128F931C7D2	The Almost	Summer Summer
TRAUONA128F4255A38	Gorillaz	November Has Come
TRANPXL128F42B8FED	Sylver	Sympathy
TRABXLH128F935F8E7	Dee Clark	Little Bitty Pretty One
TRBBHPQ128F145A7F8	John Mellencamp	Down And Out In Paradise
TRAJPIQ128F14819A8	The Rapture	The Devil
TRAVXBL128F42BB389	Michael Jackson	Girl You're So Together
TRABZCL128E0789AED	Shelby Lynne	Old Times Sake
TRBCTRX128F4299237	Wyclef Jean featuring Prodigy of Mobb Deep	Rebel Music
TRAPQNA128F93000EB	Patsy Cline	A Poor Man's Roses
TRAFQFM128E078EC97	Eminem	The Way I Am
TRBDSFP128E07937B9	Temple Of The Dog	Hunger Strike
TRBGZKO128F92DB016	Bloc Party	Zephyrus
TRBFVZI128F147FCAF	Phil Collins	Please Come Out Tonight
TRBCMSO128F92E6AE5	Eagles Of Death Metal	(I Used To Couldn't Dance) Tight Pants
TRAQSWI128F9343039	Shawn Colvin	Cry Like An Angel
TRBDNGV128F42895AE	Eddy Arnold	What's He Doin' In My World
TRAPVDC128F422C711	Wolfchant	Guardians Of The Forest
TRAUWRW128F9358C69	Jay-Z	Change Clothes
TRATDDF128F4294E6A	Kent	Vad två öron klarar
TRBATEY128F4285370	Hank Locklin	Why Baby Why
TRBEOUP12903CF652E	Joe Bonamassa	So Many Roads
TRAYDYV128F42906E1	Mindy McCready	Breakin' It
TRBCGRI128F93355E9	Teenage Fanclub	It's All In My Mind
TRAWSSL12903CC4734	Zombina & The Skeletones	Can't Break a Dead Girl's Heart
TRAFOKY128F4276D91	Dead Prez	Assassination
TRAGYJM128EF3466D2	Dinosaur Jr.	Been There All The Time
TRAKXIR128F92CF85A	Mark Wills	That's A Woman
TRBFLER128F148C52B	The Mighty Mighty Bosstones	Pictures To Prove It
TRBBAHD128F428E0FE	Tones On Tail	Burning Skies
TRBCJUF128F93190C2	Lily Allen	Everyone's At It
TRAPTRH128F4271659	Johnny Winter	Be Careful With A Fool
TRARUOP12903CF2384	Shadows Fall	What Drives The Weak
TRAJAZP128F4290FF9	Mastodon	Megalodon
TRALJVQ128F428C764	Eagles	I Don't Want To Hear Any More
TRADZXK128F429DB92	The Killers	Show You How
TRASYSY128F92F39F5	Circle Jerks	Group Sex
TRAGLFE128F428566B	Patrick Bruel	Au Bout De La Marelle
TRAJEZT128E0795DF3	Rea_ Chris	E
TRAACHN128F1489601	Five Bolt Main	Made Like This (Live)
TRAIKBB128F428AD73	Connie Smith	I'll Come Running
TRAKARY128F427253E	The Ataris	The Hero Dies in This One
TRADFJJ128F934857E	Rancid	LA River (Acoustic)
TRACBWX128F92FD725	Zombie Girl	I Want It
TRANIPA128F93151A2	Dionne Warwick	Just One Of Those Things
TRAJZYI128F424B412	45 Grave	Party Time
TRAFUWI128F934C730	GWAR	Surf of Syn
TRAKRXN128F42670BE	Margaret Becker	Cave It In
TRBCHSH128F93304E1	Smut Peddlers	Playstation Generation
TRAHCRI128F4255C6E	Asleep At The Wheel	Let Me Go Home Whiskey
TRAYYCA128F422B2A1	Panzer AG	bereit
TRAHJCI128F92FFB38	Kool Moe Dee	Knowledge Is King
TRBFUSW128F92D0357	Barry Manilow	Say Goodbye
TRBFSKB128F145C5B1	VHS Or Beta	Forever
TRAXUQL128F932D6C4	Kelly Sweet	Ready For Love
TRATQUI128F9347C68	The Sterns	Supreme Girl
TRATESL128F92F12DF	Ray Price	Make The World Go Away
TRAGNBQ128F149CB93	Fall Out Boy	The Carpal Tunnel Of Love
TRAPOYU128F42644C3	Helmet	Tic
TRAUVSF128F14A0B6F	ATB	Collides With Beauty
TRAUOUZ128E078F8BB	Eazy-E	I'mma Break It Down
TRATTAF128F147CA09	Yahir	No Te Apartes De Mi
TRBHPGG128F428C972	The Mad Capsule Markets	Loud Up!!
TRACSBL128F42480E8	The Presets	Yippiyo-Ay
TRADQJL128F92D9957	The Presets	If I Know You
TRAWOCY128F145B051	Jay & The Americans	Some Enchanted Evening
TRAPHZT128F147A02B	AFI	Affliction
TRAOREE128F934DB89	Kool Keith	Don't Crush It
TRAKKOH128F42AF40E	Jennifer Lopez	Por Arriesgarnos
TRAOCOE128F4276D18	The Clash	Life Is Wild
TRAPVXU128F149E7CD	Faces	Stay With Me
TRBAFBU128F427EFCE	Free	Woman
TRAFCVI128C7196BE6	Steel Pulse	We Can Do It
TRAMESI128F93509F7	Britt Nicole	Set The World On Fire
TRAMLZC128F92F3EB9	Andrew W.K.	Long Live The Party
TRAOKXG128F4232497	Blue Rodeo	Up On That Cloud
TRAURRO128F1489B2C	Pennywise	6TH Avenue Nightmare
TRBFIAK128E07823AA	Funeral For A Friend	Your Revolution Is A Joke
TRBCBXZ128F14628C3	Lighthouse Family	Ocean Drive
TRBFPRL128F14569B9	Leona Naess	Paper Thin
TRAXMWV128F14612AB	Carlos Ponce	Quiero
TRBBOPV12903CFB50F	The Ronettes	Born To Be Together
TRARODV128F1460DBC	The Starting Line	A Goodnight's Sleep
TRBIDUK128F42806A4	Tampa Red	No Matter How She Done It
TRARYCL128F1456224	The Moody Blues	Tuesday Afternoon
TRAKLML128E07999DA	Ms. Dynamite	Unbreakable
TRAPMTM128F425B4E5	Cartel	Georgia
TRBHDGL128F42324A7	Abysmal Dawn	Programmed to Consume
TRBDUXD128F148328A	Fergie	Velvet
TRBDIMX128F147A307	Sergio Mendes	Puzzle of Hearts
TRASYVP12903D09590	Candlebox	Breathe Me In
TRACFAP128E07862C1	DMX	Damien
TRBEFFG128E0793C24	Monster Magnet	Black Celebration
TRAPJPD128F14572B3	Vixen	American Dream
TRARKGW128F92EB8F9	New Order	Guilty Partner
TRBHEVR128F4263CE0	Firehouse	Don't Treat Me Bad
TRBCTBG128F42B7E1B	Rubyhorse	Evergreen
TRAAGPF12903CE027E	Slim Whitman	Indian Love Call
TRAWRHQ128F1495E6B	Sergio Mendes	O Morro (Live At El Matador_ San Francisco)
TRASIWA12903CFFC4D	Lady Saw	Get A Straw
TRABLMN128E0792687	Weezer	Don't Let Go
TRAVGFT128F424278B	Café Quijano	Hablando A Un Cristal
TRAUWWP12903CC79CB	Keep Of Kalessin	Ascendant
TRATBVA128F9312ACC	Weezer	I Don't Want To Let You Go
TRBGWWM12903CCE627	Weezer	Mykel And Carli
TRADDRF128F145869F	Simple Minds	Careful In Career
TRAYUKR128F9344BB4	Leningrad Cowboys	Ulan Bator Girls
TRASYWM128F14804A5	The Panic Channel	Said You'd Be
TRBHAAK128F92E27BF	Wyclef Jean	Jean Dominique Intro
TRBFKHT128F427215E	Sophie B. Hawkins	I Want You
TRAQSPU128F422146B	Halfway to Gone	Black Night
TRBAJRL128F1482E66	The Summer Obsession	Where You Belong
TRAAVGB12903CFAA99	Hank Locklin	Filipino Baby
TRALKHJ128F92E9D36	Leroy Van Dyke	If A Woman Answers
TRAZZLJ128E07945F2	Eric B. & Rakim	Follow The Leader
TRAKHUW12903CF0048	Old Man's Child	Towards Eternity
TRAQVUG128F4286DE3	Joy Division	Transmission - [The Factory_ Manchester Live 11 April 1980]
TRBGWEG12903CFF7EE	Twenty 4 Seven	You Gotta Be Safe
TRAATIU128F4291A84	Mastodon	Shadows That Move
TRACTHF128F4295A22	Kris Kristofferson	Road Warrior's Lament
TRAAAFD128F92F423A	Gob	Face the Ashes
TRAPQBU128F934C32D	Primordial	Here I Am King
TRAYXPS128F422842E	Plasmatics	Lightning Breaks
TRAEFDK128F1473B92	The Impressions	This Is My Country
TRABGHG128F934B27E	UFO	Chains Chains (Live In Hammersmith)
TRBGTPK128F429E5D5	Aesop Rock	Coma
TRATTNI128E0799697	Faith Hill	I Want You (Album Version)
TRAWAXV128F92E075C	Information Society	Empty
TRBEYJR128F4292651	Toni Braxton	Tell Me
TRAZYVR128F4280A24	Northern State	Last Night
TRBICRP128F42882BB	Dungeon Family	Follow The Light
TRAAOIN128F9303790	Test Icicles	Snowball
TRAFABO128F933DE53	Finntroll	Grottans Barn
TRAQTYT12903D134AC	Billie Jo Spears	What I've Got In Mind
TRBHEBY128F148CF2B	Sister Hazel	Concede
TRAWFZB128F92FFB99	Jefferson Starship	Stairway To Cleveland
TRATWYC12903CE60D6	The Dillinger Escape Plan	Parasitic Twins
TRAMLGE128F92F81DD	Noisettes	Don't Upset The Rhythm (Go Baby Go)
TRATFEN128F14A3A6E	Bobbie Gentry	Ace Insurance Man
TRAYABW128F4235888	NOFX	We March To The Beat Of Indifferent Drum
TRBAOJU128F42621E6	The Distillers	Ask The Angels
TRAJXNB128F4261F43	Steve Vai	Brother
TRAEPZJ12903CB00C4	Unearth	Fuel the Fire
TRAYYAU128F92D58D0	Aaron Watson	Whiskey on the Fire
TRABDTV128E0791839	Natural Elements	Mayday
TRBHGUK128E078E031	Jesus Jones	Yellow Brown
TRBFURI128F1455498	KT Tunstall	Under The Weather
