TRAZKAG12903CD1918	AFI	Too Shy To Scream	Rock	17|0.743025971204	23|0.178695670283	5|0.022957499891	0|0.0135303547201	3|0.0109690090751	48|0.00197052363246	1|0.0018277455716	41|0.00139231029471	15|0.0013776168428	32|0.00120783169815	31|0.00120699908485	27|0.00116988118298	7|0.00110166912905	8|0.00093263643423	49|0.000919226495232	26|0.00091023615871	24|0.000873554147553	28|0.000868882427826	38|0.0008573640286	6|0.000813092262007	4|0.000801950784593	37|0.000735888985362	21|0.000700446168998	25|0.000652662770611	2|0.000649326308909	39|0.000649184539505	35|0.000628621142407	29|0.000611601689267	11|0.000604866000268	30|0.000604200904847	36|0.000599913001371	14|0.00058235409493	22|0.000562658539741	9|0.000525722977225	20|0.000503482859034	18|0.000500324683939	12|0.000477148306278	16|0.000467640571201	44|0.000421458949342	46|0.000373386867137	34|0.000340653512512	42|0.000303101802025	19|0.000268684184201	43|0.00021673442643	33|0.000193321857618	10|0.00013804080596	45|0.000124651400521	47|6.92169512218e-05	13|5.27342170007e-05	40|3.19461334781e-05
TRBHKKK128F427E9FF	3 Doors Down	Better Life	Rock	26|0.557689753693	21|0.108323797207	41|0.0883624774808	15|0.0883323923693	48|0.0467905315148	32|0.0238509816602	30|0.0226150365739	0|0.00632572451161	5|0.00425005244619	1|0.00374234247727	17|0.00352664557513	31|0.00247135269561	23|0.00245794131532	27|0.00239535311286	7|0.00225568768521	8|0.00190959015189	49|0.00188213305659	24|0.00178861808962	28|0.00177905265806	38|0.00175546852504	6|0.00166482127345	4|0.00164200889473	37|0.0015067461529	25|0.00133633895644	2|0.0013295074901	39|0.00132921721466	35|0.00128711328311	29|0.00125226564161	11|0.00123847419523	36|0.00122833283942	14|0.00119238065743	22|0.00115205364805	3|0.00108132247058	9|0.00107642740845	20|0.00103089035981	18|0.00102442393856	12|0.000976969881527	16|0.000957502620112	44|0.000862944904948	46|0.000764516437658	34|0.00069749429555	42|0.000620606481713	19|0.000550135779909	43|0.000443767700998	33|0.000395830038269	10|0.000282641074212	45|0.000255226021756	47|0.000141722973225	13|0.000107974273528	40|6.54102924158e-05
TRANWBG128F934AC15	Lizzy Borden	Generation Aliens	Metal|Rock	29|0.568496669125	27|0.110079165083	31|0.0859608775293	0|0.0518971223414	23|0.0376308292904	24|0.0372525962252	1|0.0262760241542	5|0.0144823125534	41|0.0136915872523	18|0.0126595170623	12|0.0126327008802	48|0.00227999047886	17|0.00199289956603	15|0.00159396884836	32|0.00139751928193	7|0.00127468409093	8|0.00107910514508	49|0.00106358920163	26|0.00105318695051	28|0.00100533869783	38|0.000992011356741	6|0.000940786796603	4|0.000927895572156	37|0.000851458897771	21|0.000810449857065	25|0.000755162170292	2|0.000751301723867	39|0.000751137689858	35|0.000727344851841	11|0.000699859011524	30|0.000699089464181	36|0.000694128153929	14|0.000673811655895	22|0.000651022952645	3|0.000611052921666	9|0.000608286732951	20|0.000582553848103	16|0.000541082599723	44|0.000487648245321	46|0.000432026537505	34|0.000394152474156	42|0.000350703341669	19|0.000310880504911	43|0.000250772140238	33|0.000223682673714	10|0.000159719842025	45|0.000144227656894	47|8.00873367678e-05	13|6.10160216763e-05	40|3.69632106749e-05
TRAHSAW128F4253EFC	Nick Cave & The Bad Seeds	Rock Of Gibraltar	Rock	5|0.144620465618	24|0.142307378279	36|0.141780860594	48|0.104239059882	29|0.101624334555	18|0.081320716312	32|0.0625925346301	6|0.0618330096211	0|0.0461234988743	8|0.0419735184171	1|0.0236063052406	17|0.00331409984928	41|0.002678968434	15|0.00265069650782	31|0.00232240791471	23|0.00230980481852	27|0.00225098871469	7|0.00211974071631	49|0.00176869967404	26|0.0017514012113	28|0.00167183177905	38|0.00164966902693	4|0.00154304744115	37|0.00141593678521	21|0.00134774064631	25|0.00125579977908	2|0.00124938003514	39|0.00124910725416	35|0.00120954086445	11|0.00116383318264	30|0.00116255346098	14|0.00112051763436	22|0.00108262107435	3|0.00101615276059	9|0.00101155271663	20|0.000968760118728	12|0.00091808934812	16|0.00089979534983	44|0.000810936488656	46|0.000718440159875	34|0.000655457343391	42|0.00058320344466	19|0.000516979908086	43|0.000417022476362	33|0.000371973945843	10|0.000265606713658	45|0.000239843925968	47|0.000133181538717	13|0.00010146682336	40|6.14681105937e-05
TRAAMES128F42AF068	Pearl Jam	Inside Job	Rock	41|0.25587137325	5|0.176508360809	35|0.174654881043	31|0.0817842987149	1|0.055833261007	15|0.0552567207522	48|0.0292700250091	28|0.0278590053159	18|0.0273869439655	23|0.0149106316254	27|0.0148714792971	25|0.0142090082834	2|0.0142047348293	3|0.014049481587	42|0.0137612786519	0|0.00395708509096	17|0.00220610881818	32|0.00154703210538	7|0.00141105545976	8|0.00119455260911	49|0.00117737670108	26|0.00116586157091	24|0.00111887799775	38|0.00109814114025	6|0.00104143634902	4|0.00102716596409	37|0.000942551754594	21|0.000897155384466	39|0.000831497738024	29|0.000783360339395	11|0.000774733038796	30|0.000773881161858	36|0.000768389068587	14|0.000745899021306	22|0.000720672281307	9|0.000673363950908	20|0.000644878047681	12|0.000611147852773	16|0.000598970020848	44|0.000539819021746	46|0.000478246656442	34|0.000436320657481	19|0.0003441398829	43|0.000277600858249	33|0.000247613240209	10|0.000176807380531	45|0.000159657772586	47|8.86554359686e-05	13|6.75437868344e-05	40|4.09176992199e-05
TRANKIL128F1476FA2	The Police	Voices Inside My Head	Rock	15|0.622876896488	7|0.251495753859	17|0.0386442185982	8|0.0286639899063	48|0.0110295219813	27|0.0103180236833	2|0.00985542779267	0|0.00274547655074	5|0.00184459808659	1|0.00162424296179	41|0.00123728938642	32|0.00107335077991	31|0.00107261087042	23|0.00106679009368	49|0.000816879104168	26|0.000808889758689	24|0.000776291951109	28|0.000772140384281	38|0.00076190445256	6|0.000722561938803	4|0.000712660962127	37|0.00065395453487	21|0.000622457949174	25|0.000579994791431	39|0.000576903829275	35|0.000558629976762	29|0.000543505482737	11|0.000537519750576	30|0.000536928707396	36|0.000533118222419	14|0.000517514338243	22|0.000500011701447	3|0.000469313116834	9|0.000467188573114	20|0.000447424686935	18|0.000444618145505	12|0.000424022243712	16|0.000415573107234	44|0.000374533382978	46|0.000331813683697	34|0.000302724886168	42|0.000269354212258	19|0.000238768678701	43|0.000192603047261	33|0.000171797252023	10|0.00012267123554	45|0.000110772616889	47|6.15102821781e-05	13|4.68627483715e-05	40|2.83892261946e-05
TRAOJEW128F4294CBD	K'Naan	Is It A Myth?	Rap|Rock	27|0.17838146559	15|0.135902267742	38|0.114238050818	0|0.108653226336	29|0.106967425725	1|0.0793811377286	18|0.078478032204	48|0.0652714328886	12|0.0500485775952	5|0.0227224654616	22|0.0145896458272	44|0.0144935812471	6|0.00765660575163	11|0.00751493984212	17|0.00117182802095	41|0.000947252774798	32|0.000821743494903	31|0.000821177029748	23|0.000816720718252	7|0.000749516212993	8|0.000634515490949	49|0.000625392092254	26|0.000619275552537	24|0.00059431909205	28|0.000591140706103	4|0.000545604028673	37|0.000500659146151	21|0.000476545766917	25|0.000444036521756	2|0.000441766573299	39|0.000441670121048	35|0.000427679895569	30|0.000411065684011	36|0.000408148425925	14|0.000396202293722	3|0.000359300061125	9|0.000357673537891	20|0.000342542561881	16|0.00031815740382	46|0.000254032270904	34|0.000231762263194	42|0.000206214106227	19|0.000182798216745	43|0.000147454405537	33|0.000131525757407	10|9.3915513645e-05	45|8.48060848752e-05	47|4.70914776375e-05	13|3.58775149264e-05	40|2.17344249311e-05
TRBDWLE128F42B3112	Barry Manilow	This One's For You	Pop|Rock	48|0.373190671943	7|0.301274223568	41|0.125637549859	17|0.0733562901788	1|0.0383086060675	29|0.0362570988823	0|0.005211593916	5|0.00350150365078	15|0.00232389513487	32|0.00203748540224	31|0.00203608087091	23|0.0020250315962	27|0.00197346686325	8|0.00157325985338	49|0.00155063869267	26|0.00153547293783	24|0.00147359423206	28|0.00146571353084	38|0.00144628319935	6|0.00137160137215	4|0.00135280686823	37|0.00124136754122	21|0.00118157922711	25|0.00110097364537	2|0.00109534538439	39|0.00109510623427	35|0.00106041793998	11|0.00102034550653	30|0.00101922356031	36|0.00101199031684	14|0.000982370283185	22|0.000949145947171	3|0.000890872436602	9|0.00088683952686	20|0.000849322779927	18|0.000843995269759	12|0.00080489915129	16|0.000788860599347	44|0.000710957046615	46|0.000629864485542	34|0.000574646749232	42|0.000511300951914	19|0.000453242040226	43|0.000365608247149	33|0.000326113698981	10|0.000232860362488	45|0.00021027383974	47|0.000116761737515	13|8.89570935269e-05	40|5.38897767951e-05
TRAWOBG128F93256C6	Dropkick Murphys	The Burden (Album Version)	Rock	42|0.253531688478	0|0.245796387188	21|0.0956673573539	38|0.0852748730032	31|0.0750771392195	1|0.0546023195191	15|0.054147441456	6|0.0430259026841	48|0.0230934304606	8|0.0220445924545	24|0.0219848867872	5|0.00209761008141	17|0.00174057318247	41|0.00140700064119	32|0.00122057560029	23|0.00121311502571	27|0.00118222466703	7|0.00111329290377	49|0.00092892530717	26|0.000919840113087	28|0.000878050056595	4|0.000810412213722	37|0.000743653392625	25|0.000659549053266	2|0.000656177388364	39|0.000656034123143	35|0.000635253760453	29|0.000618054734077	11|0.000611247976434	30|0.000610575863553	36|0.000606242718159	14|0.000588498546681	22|0.000568595182549	3|0.000533685864885	9|0.000531269910775	20|0.000508795135811	18|0.000505603638628	12|0.000482182725665	16|0.000472574673925	44|0.000425905787102	46|0.000377326493576	34|0.000344247767432	19|0.000271519086574	43|0.000219021203903	33|0.000195361607724	10|0.000139497282491	45|0.00012596660466	47|6.9947263279e-05	13|5.32906187754e-05	40|3.22831989808e-05
TRAVGZS128F9338603	Tammy Wynette	I Stayed Long Enough	Country	32|0.231199610619	35|0.19690557888	0|0.172072030511	17|0.16781780866	1|0.135654082051	5|0.00645950557089	48|0.00613217336194	41|0.00433280167776	15|0.00428707637259	31|0.00375612223779	23|0.00373573875153	27|0.00364061313894	7|0.00342834055657	8|0.00290231906086	49|0.00286058798524	26|0.00283261049681	24|0.00271845786856	28|0.00270391970479	38|0.00266807500862	6|0.00253030343191	4|0.00249563169802	37|0.00229005060333	21|0.00217975428878	25|0.00203105468533	2|0.00202067177937	39|0.00202023059991	29|0.0019032746044	11|0.00188231346901	30|0.00188024372453	36|0.0018668999782	14|0.00181225751842	22|0.00175096591202	3|0.00164346407747	9|0.00163602424431	20|0.00156681408206	18|0.00155698599531	12|0.00148486223928	16|0.0014552746318	44|0.00131155967872	46|0.00116196170532	34|0.00106009710346	42|0.000943238013346	19|0.000836132066619	43|0.00067446695613	33|0.000601608184769	10|0.000429576250305	45|0.000387909074122	47|0.000215399773687	13|0.000164106309322	40|9.94148080766e-05
TRAYDZH128C71967BC	New Found Glory	Sucker	Rock	21|0.320848745026	32|0.248856833209	0|0.222397741789	49|0.0739785715006	23|0.0598304975379	3|0.0298148292982	5|0.00289057404543	48|0.0027440956537	1|0.00254526695162	17|0.00239856573442	41|0.00193889206167	15|0.0019184303748	31|0.00168083289547	27|0.00162914355184	7|0.0015341533687	8|0.00129876320359	26|0.00126756921146	24|0.00121648687693	28|0.00120998117175	38|0.00119394097374	6|0.00113228935978	4|0.00111677405246	37|0.00102477825339	25|0.000908879773204	2|0.000904233510707	39|0.000904036086631	35|0.000875400079597	29|0.000851699268999	11|0.000842319338405	30|0.000841393145274	36|0.000835421931786	14|0.000810969893732	22|0.000783542418871	9|0.00073210699587	20|0.000701136034315	18|0.000696738048719	12|0.000664463278622	16|0.000651223074814	44|0.000586911850257	46|0.00051996802392	34|0.000474384477152	42|0.000422091023859	19|0.000374162019646	43|0.000301818251644	33|0.000269214568411	10|0.000192231734463	45|0.000173586025949	47|9.63895747715e-05	13|7.34361838087e-05	40|4.44872847936e-05
TRAUZFY128F42BCE57	Jason Michael Carroll	No Good In Goodbye	Country	2|0.168745472954	32|0.128004139735	25|0.126891213263	17|0.10810520164	41|0.107443483021	46|0.0844704110891	0|0.0480542722701	5|0.0460220450051	48|0.0458111835075	1|0.0245944875608	21|0.0223346324334	29|0.0221565292138	34|0.021613369495	15|0.00276165717695	31|0.00241962611206	23|0.00240649543832	27|0.00234521723661	7|0.00220847507257	8|0.0018696215247	49|0.00184273911943	26|0.00182471652664	24|0.00175118146505	28|0.00174181624251	38|0.00171872573657	6|0.00162997577493	4|0.00160764087011	37|0.00147520924159	39|0.00130139606819	35|0.00126017339189	11|0.00121255234318	30|0.00121121905116	36|0.00120262325076	14|0.00116742356498	22|0.00112794061903	3|0.00105868987863	9|0.00105389727248	20|0.00100931333585	18|0.00100298225986	12|0.000956521438739	16|0.000937461636334	44|0.000844883058978	42|0.00060761689383	19|0.000538621177224	43|0.000434479432632	33|0.000387545127911	10|0.000276725262532	45|0.000249884020122	47|0.000138756644206	13|0.000105714320794	40|6.40412239854e-05
TRBIFGK128F92F23A2	The Killers	A Dustland Fairytale	Rock	5|0.243082945533	0|0.141921446231	29|0.0747706893124	22|0.0747271955311	14|0.0654663001892	16|0.0653643589582	15|0.0568946197871	9|0.0468591784667	32|0.028908544716	27|0.0288748196407	24|0.0286114858872	42|0.0281045481484	31|0.0196294068278	28|0.0193289363417	44|0.0189313293404	34|0.0188595208436	23|0.0103451880724	3|0.00974771109554	48|0.0017511240026	1|0.00162424296179	17|0.0015306266834	41|0.00123728938642	7|0.00097900843361	8|0.000828795970156	49|0.000816879104168	26|0.000808889758689	38|0.00076190445256	6|0.000722561938803	4|0.000712660962127	37|0.00065395453487	21|0.000622457949174	25|0.000579994791431	2|0.000577029813964	39|0.000576903829275	35|0.000558629976762	11|0.000537519750576	30|0.000536928707396	36|0.000533118222419	20|0.000447424686935	18|0.000444618145505	12|0.000424022243712	46|0.000331813683697	19|0.000238768678701	43|0.000192603047261	33|0.000171797252023	10|0.00012267123554	45|0.000110772616889	47|6.15102821781e-05	13|4.68627483715e-05	40|2.83892261946e-05
TRAULGT12903D10B94	BB King	She Don't Move Me No More	Blues	39|0.366907143255	37|0.138667565283	21|0.138590022347	25|0.0927996257382	29|0.0927097909816	0|0.0752880005323	16|0.0238660463835	5|0.00454130336302	48|0.00431117509004	1|0.00399880064841	17|0.00376832230032	41|0.00304614132066	15|0.00301399451316	32|0.00264253310352	31|0.0026407114853	23|0.00262638103946	27|0.00255950374373	7|0.00241026721446	8|0.00204045203878	49|0.0020111133422	26|0.0019914439943	24|0.00191118990846	28|0.00190096896952	38|0.00187576864459	6|0.00177890944728	4|0.00175453376403	2|0.00142061701883	35|0.00137531758847	11|0.00132334532315	30|0.00132189020596	36|0.00131250899258	14|0.00127409305136	22|0.00123100248115	3|0.00115542418225	9|0.00115019366748	20|0.00110153602036	18|0.00109462646314	12|0.00104392043739	44|0.000922081468067	46|0.000816907817817	34|0.000745292729954	42|0.000663135887898	19|0.000587835914745	43|0.000474178560961	33|0.000422955788602	10|0.000302010122721	45|0.000272716350117	47|0.000151435075937	13|0.000115373618962	40|6.98927800739e-05
TRAZDPO128E078ECE6	Aerosmith	Crazy	Rock	3|0.490217436109	39|0.0881884902051	0|0.0679637984298	20|0.066152987796	41|0.0594642239045	38|0.0590896317959	14|0.0442747408864	1|0.0305244996554	8|0.0152753889317	26|0.0152597033069	21|0.0151127994408	46|0.014883778619	48|0.00869100302043	25|0.00776818084112	5|0.00145349975903	17|0.00120609770316	15|0.000964665856564	32|0.000845775083093	31|0.000845192051871	23|0.000840605417174	27|0.000819200519624	7|0.00077143554072	49|0.000643681455433	24|0.000611699736694	28|0.000608428400012	6|0.000569361755046	4|0.000561560019092	37|0.000515300739907	2|0.000454685875285	35|0.000440187237813	29|0.000428269493464	11|0.000423552877787	30|0.00042308714971	36|0.000420084577477	22|0.000393997420277	9|0.000368133569789	18|0.000350348605504	12|0.000334119520962	16|0.000327461800819	44|0.000295123466659	34|0.00023854006588	42|0.000212244762399	19|0.000188144083787	43|0.000151766655737	33|0.000135372180115	10|9.66620385186e-05	45|8.72862078336e-05	47|4.84686506907e-05	13|3.69267397384e-05	40|2.2370040245e-05
TRAEZFJ128F422A5C0	Shanadoo	King Kong	Pop	36|0.657221829523	1|0.147098490923	44|0.103334415188	0|0.0265677231436	5|0.00407578864499	48|0.00386925009714	17|0.00338204343875	41|0.0027338909589	15|0.00270503941948	32|0.0023716553501	31|0.00237002046023	23|0.0023571589833	27|0.00229713706872	7|0.00216319830648	8|0.00183129172079	49|0.00180496044168	26|0.00178730733674	24|0.00171527984471	28|0.00170610662206	38|0.00168348950315	6|0.00159655903737	4|0.00157468202872	37|0.0014449654301	21|0.00137537117688	25|0.00128154539585	2|0.00127499403836	39|0.001274715665	35|0.00123433811007	29|0.0012009193174	11|0.00118769335812	30|0.00118638740042	14|0.00114348978173	22|0.0011048162903	3|0.001036985285	9|0.00103229093384	20|0.00098862102902	18|0.000982419748765	12|0.000936911438162	16|0.000918242387831	46|0.000733169167902	34|0.000668895117352	42|0.00059515991466	19|0.000527578704815	43|0.000425572008731	33|0.000379599921589	10|0.000271052015349	45|0.000244761055199	47|0.000135911942809	13|0.000103547032318	40|6.27282911138e-05
TRAEGGV128F92F29B2	Warrant	Cherry Pie	Rock	38|0.571017868974	23|0.0921263386529	49|0.0812157725298	28|0.0704242355179	27|0.054431041783	17|0.0439503100294	48|0.0225470654736	0|0.0177411403484	26|0.011234853349	21|0.0111266963712	31|0.00600505802576	8|0.00586361069005	5|0.00107012936668	1|0.000942292038936	41|0.000717803903795	15|0.000710228712269	32|0.000622696184432	7|0.000567964199164	24|0.000450359793841	6|0.00041918874121	4|0.000413444765882	37|0.000379386684462	25|0.000336479509191	2|0.000334759400359	39|0.000334686311313	35|0.000324084876584	29|0.000315310517914	11|0.000311837941524	30|0.000311495052377	36|0.000309284428879	14|0.000300231955707	22|0.000290077935833	3|0.000272268388514	9|0.000271035850844	20|0.000259569984565	18|0.00025794179118	12|0.000245993237453	16|0.000241091536029	44|0.000217282656227	46|0.000192499151859	34|0.000175623510112	42|0.000156263770775	19|0.000138519809154	43|0.000111737173796	33|9.96668520045e-05	10|7.11667720748e-05	45|6.42638801475e-05	47|3.56847162479e-05	13|2.71870623743e-05	40|1.64697908281e-05
TRBGHJG128F428ADB4	Lit	Lovely Day	Rock	41|0.463103124978	32|0.18781886123	20|0.118378370217	11|0.0889976343849	1|0.050846899471	2|0.0399125699806	27|0.0207516754852	0|0.00290732866521	5|0.00195334135762	48|0.00185435676284	17|0.00162086062296	15|0.00129640318287	31|0.00113584373151	23|0.00112967980669	7|0.00103672321723	8|0.000877655385907	49|0.000865035993447	26|0.000856575657801	24|0.000822056134997	28|0.00081765982382	38|0.000806820460542	6|0.000765158615725	4|0.000754673953856	37|0.000692506648602	21|0.000659153267228	25|0.000614186809333	39|0.000610913627897	35|0.000591562490033	29|0.000575546372534	30|0.000568581881263	36|0.000564546759492	14|0.000548022990698	22|0.00052948853348	3|0.000496980197176	9|0.00049473040675	18|0.000470829400874	12|0.00044901932362	16|0.000440072091245	44|0.000396612981493	46|0.00035137485835	34|0.000320571209756	42|0.000285233258386	19|0.000252844637757	43|0.000203957436881	33|0.000181925092485	10|0.000129902985107	45|0.000117302915705	47|6.51364538273e-05	13|4.96254144418e-05	40|3.00628359314e-05
TRAFRVU128F42649A6	K's Choice	My Record Company	Rock	23|0.361799405169	7|0.122208084358	46|0.120538446111	3|0.0730201960647	26|0.0499597525324	11|0.0492596699921	43|0.0483698510931	32|0.0267055251149	8|0.0260746206401	4|0.0257750146077	30|0.0253216591166	0|0.00708280259575	5|0.00475870905265	48|0.00451756385525	1|0.00419023512067	17|0.00394872308902	41|0.00319196915941	15|0.00315828338868	31|0.00276713019281	27|0.00268203479529	49|0.00210739131531	24|0.0020026842498	28|0.00199197400414	38|0.00196556726476	6|0.00186407112979	37|0.00168707719461	21|0.00160582204826	25|0.00149627525071	2|0.00148862617787	39|0.00148830116155	35|0.00144115812914	29|0.00140213983721	36|0.00137534269909	14|0.00133508767258	22|0.00128993422871	9|0.00120525685694	20|0.00115426982364	18|0.00114702948537	12|0.00109389601146	16|0.00107209886089	44|0.00096622424855	34|0.000780972108092	42|0.000694882173821	19|0.000615977367147	33|0.000443203939309	10|0.000316468244929	45|0.000285772092364	47|0.000158684723116	13|0.000120896897014	40|7.3238755191e-05
TRAMIUD128E07825DB	Cracker	Dr. Bernice	Rock	18|0.242984767899	7|0.126043703262	5|0.0954693258341	14|0.0943499604383	30|0.0708879738501	32|0.0635143131201	17|0.0560738943706	41|0.0401742294867	24|0.039785388483	37|0.03185607889	39|0.0317910883469	26|0.0241606425541	38|0.0241210115015	49|0.0163412606634	48|0.00930315457012	31|0.00873084395166	27|0.00870302170359	0|0.0023157479321	1|0.00137001253169	15|0.00103261217963	23|0.000899813532462	8|0.000699070823787	28|0.000651283107008	6|0.000609464799524	4|0.000601113547623	21|0.000525029328051	25|0.000489212606285	2|0.00048671171425	35|0.000471191863993	29|0.000458434692291	11|0.00045338586138	36|0.000449673271038	22|0.000421748662663	3|0.000395855094636	9|0.000394063089628	20|0.000377392694634	12|0.000357653258329	16|0.000350526601092	44|0.000315910513567	46|0.000279877404764	34|0.000255341656059	42|0.000227194240602	19|0.000201396028607	43|0.000162456353265	33|0.000144907131333	10|0.000103470437565	45|9.34342194344e-05	47|5.18825442957e-05	13|3.95276778468e-05	40|2.39456759651e-05
TRACLHC128F9343C39	SUMO	Pinini Reggae	Rock|Reggae	42|0.765586911481	9|0.151441822816	48|0.0128127487069	32|0.0120253947311	11|0.0114029318229	36|0.0113978186662	0|0.00318935863085	5|0.00214282829199	1|0.00188684667781	17|0.00177809474351	41|0.00143733137417	15|0.00142216280183	31|0.0012460280297	23|0.0012392661637	27|0.00120770990112	7|0.00113729217486	8|0.000962793719697	49|0.000948950163328	26|0.000939669119586	24|0.000901800976468	28|0.000896978194247	38|0.000885087341576	6|0.000839384024323	4|0.000827882281426	37|0.000759684339467	21|0.000723095461152	25|0.000673766961659	2|0.000670322613729	39|0.000670176260137	35|0.00064894793487	29|0.000631378148836	30|0.000623738056193	14|0.000601184818285	22|0.000580852397047	3|0.000545190538722	20|0.000519763239845	18|0.000516502943511	12|0.000492577145592	16|0.000482761972943	44|0.000435087044258	46|0.000385460526205	34|0.000351668721488	19|0.000277372227414	43|0.000223742647134	33|0.000199573020701	10|0.000142504427408	45|0.000128682068562	47|7.14551174359e-05	13|5.4439405408e-05	40|3.29791283639e-05
TRAIUPS128F92F2825	Ensiferum	Into Battle	Metal|Rock	15|0.547553096447	5|0.158960478153	27|0.0506059640122	8|0.0421381205774	36|0.0418742684547	22|0.0335650187845	23|0.0257910847034	12|0.0252175019333	38|0.017239309181	17|0.00964558247401	41|0.00938381888487	31|0.00923686573623	21|0.00883516555851	0|0.0024499639263	48|0.00156263969389	1|0.00144941564438	32|0.000957819395814	7|0.000873631699837	49|0.000728953353042	26|0.000721823950238	24|0.000692734846335	28|0.000689030138325	6|0.000644788127623	4|0.000635952854313	37|0.000583565362975	25|0.000517566364231	2|0.000514920525629	39|0.000514808101452	35|0.000498501176726	29|0.000485004625551	11|0.00047966317477	30|0.000479135749223	14|0.000461811068718	3|0.000418798042938	9|0.000416902177	20|0.000399265600149	18|0.000396761144134	16|0.000370842403002	44|0.000334220038136	46|0.000296098524349	34|0.00027014073404	42|0.00024036195219	19|0.00021306852881	43|0.000171871989858	33|0.000153305651064	10|0.000109467371625	45|9.88494749034e-05	47|5.48895500099e-05	13|4.18186208753e-05	40|2.53335181659e-05
TRBDSLA128F4288246	Toni Braxton	Best Friend	RnB	17|0.408865555837	0|0.153108220411	1|0.124361633577	48|0.0703297147124	31|0.0557841928054	27|0.0557360065308	8|0.0283193802698	37|0.0280639637155	14|0.0278646454885	2|0.0143972703245	5|0.00269467524409	41|0.00180749026229	15|0.00178841529649	32|0.00156800107073	23|0.00155841691313	7|0.00143018135439	49|0.00119333523948	26|0.00118166402957	24|0.00113404362611	28|0.00112797882292	38|0.00111302569465	6|0.00105555230864	4|0.00104108849837	21|0.000909315713984	25|0.000847283545141	39|0.000842768122912	35|0.000816072823628	29|0.000793978254667	11|0.000785234016891	30|0.000784370593342	36|0.000778804058491	22|0.000730440502695	3|0.000685594573067	9|0.000682490940134	20|0.000653618929912	18|0.000649519002796	12|0.000619431545211	16|0.000607088651077	44|0.000547135900514	46|0.000484728963781	34|0.000442234686491	42|0.000393485243716	19|0.000348804464363	43|0.000281363548602	33|0.000250969468847	10|0.000179203884019	45|0.000161821824832	47|8.9857099954e-05	13|6.84592968107e-05	40|4.14723107333e-05
TRACWBO128F92F322F	Stevie Ray Vaughan And Double Trouble	Empty Arms	Blues	39|0.355018615495	0|0.196170609883	2|0.192722413678	48|0.120818329661	21|0.0895151234352	5|0.00293322220613	1|0.00258282037605	17|0.00243395469705	41|0.00196749889856	15|0.00194673531549	32|0.00170680885202	31|0.00170563227107	23|0.00169637625389	27|0.00165318029157	7|0.00155678860253	8|0.00131792543952	49|0.00129897561181	26|0.00128627120441	24|0.00123443518997	28|0.00122783349819	38|0.0012115566396	6|0.00114899540426	4|0.0011332511807	37|0.00103989805553	25|0.000922289583857	35|0.000888315923539	29|0.000864265426006	11|0.000854747101867	30|0.00085380724348	36|0.000847747929405	14|0.000822935120642	22|0.000795102974827	3|0.000746287045364	9|0.000742908662363	20|0.000711480748478	18|0.000707017874042	12|0.000674266914939	16|0.000660831362273	44|0.000595571275864	46|0.000527639745694	34|0.000481383649323	42|0.000428318647001	19|0.000379682487793	43|0.000306271344039	33|0.000273186618943	10|0.000195067963452	45|0.000176147152083	47|9.7811727607e-05	13|7.45196773014e-05	40|4.51436599084e-05
TRAJHDR128F92FA863	Morgion	Basking Under a Blacksun Dawning	Metal	15|0.351228340946	5|0.127084012713	48|0.0858747328093	41|0.0847393736711	22|0.0626089283244	27|0.0432998784248	28|0.0427088479781	34|0.0416716364734	43|0.0414283133648	1|0.0240902668547	21|0.0218767418549	11|0.0216890640362	0|0.00606635246557	17|0.00338204343875	32|0.0023716553501	31|0.00237002046023	23|0.0023571589833	7|0.00216319830648	8|0.00183129172079	49|0.00180496044168	26|0.00178730733674	24|0.00171527984471	38|0.00168348950315	6|0.00159655903737	4|0.00157468202872	37|0.0014449654301	25|0.00128154539585	2|0.00127499403836	39|0.001274715665	35|0.00123433811007	29|0.0012009193174	30|0.00118638740042	36|0.00117796782571	14|0.00114348978173	3|0.001036985285	9|0.00103229093384	20|0.00098862102902	18|0.000982419748765	12|0.000936911438162	16|0.000918242387831	44|0.000827561798206	46|0.000733169167902	42|0.00059515991466	19|0.000527578704815	33|0.000379599921589	10|0.000271052015349	45|0.000244761055199	47|0.000135911942809	13|0.000103547032318	40|6.27282911138e-05
TRARPTJ12903CE2898	SOJA	Be Aware	Reggae	29|0.3063115697	0|0.22401377246	18|0.199177795849	31|0.100289655785	48|0.0626158813025	27|0.0543829240633	46|0.03085982222	5|0.00152018567057	1|0.00133858475404	17|0.00126143292027	41|0.00101968532292	15|0.00100892428975	32|0.000884578861369	23|0.000879172013516	7|0.000806828654415	8|0.000683034297181	49|0.000673213269477	26|0.000666629022966	24|0.000639764243948	28|0.000636342819818	38|0.000627907097782	6|0.00059548381485	4|0.000587324138779	37|0.000538942504788	21|0.000512985273999	25|0.00047799017973	2|0.000475546657592	39|0.000475442830032	35|0.000460382829191	11|0.000442985292251	30|0.00044249819678	36|0.000439357867892	14|0.000426498263785	22|0.000412073843718	3|0.000386774268286	9|0.000385023371467	20|0.000368735391564	12|0.000349448773464	16|0.000342485600133	44|0.000308663597828	34|0.000249484176214	42|0.000221982456102	19|0.000196776049255	43|0.00015872964126	33|0.000141582994511	10|0.000101096849127	45|9.12908595703e-05	47|5.06923704625e-05	13|3.8620921856e-05	40|2.33963675737e-05
